trade_date,open,high,low,close,vol,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,Buy_Signal,Sell_Signal,Position,Portfolio_Value,BuyHold_Value
2025-03-13,1454.4684555843692,1465.3016079413771,1442.1092463645698,1448.5997314453125,2572439,1445.600341796875,1422.7414428710938,1406.2689514160156,62.670872384713306,19.200598112907755,12.486057854821127,6.714540258086629,0.0,0.0,1,10383.87,10334.47605146978
2025-03-14,1457.9161952484603,1533.60693359375,1451.642355078761,1533.60693359375,9291315,1465.7613037109375,1434.725732421875,1413.4758178710938,75.132484487354,26.595512879557646,15.30794885976843,11.287564019789215,0.0,0.0,1,10978.92,10940.927147473343
2025-03-17,1560.916012321063,1561.8485962733123,1532.5425767933318,1542.8858642578125,5468913,1487.4200927734375,1448.9350708007812,1421.3058288574218,76.07149165011926,32.82636634937012,18.81163235768877,14.01473399168135,0.0,0.0,1,11043.88,11007.12409936379
2025-03-18,1549.6494627001102,1556.2058379074622,1527.6627913728319,1529.8294677734375,3161345,1501.6105712890626,1463.4317016601562,1428.3238220214844,71.95427972991574,36.29246360645993,22.307798607443,13.984664999016932,0.0,0.0,1,10952.48,10913.978274566734
2025-03-19,1530.1028770100688,1552.4379763899826,1528.8876430102803,1540.860595703125,2738955,1519.1565185546874,1479.3837646484376,1435.1397644042968,73.27057170587331,39.4744535588959,25.741129597733583,13.73332396116232,0.0,0.0,1,11029.7,10992.675602017094
2025-03-20,1540.860461267747,1542.64088011494,1502.5770288667923,1510.9892578125,3673677,1531.634423828125,1488.6173828125,1441.2628479003906,64.44944153488305,39.13471555817455,28.419846789821776,10.714868768352773,0.0,0.0,1,10820.6,10779.570063368386
2025-03-21,1506.2792436643665,1518.7137730374614,1477.8586614409357,1482.493408203125,3361430,1521.41171875,1493.5865112304687,1445.2918395996094,57.35559107147421,36.14938620918997,29.965754673695415,6.1836315354945555,0.0,0.0,1,10621.13,10576.277415329203
2025-03-24,1478.9607374681677,1497.480749346537,1471.7826014184736,1491.2069091796875,2556585,1511.075927734375,1499.2480102539062,1450.18701171875,58.84721008811681,34.09358823635898,30.791321386228127,3.302266850130856,0.0,0.0,1,10682.12,10638.440527203384
2025-03-25,1495.9170110927087,1500.4387205990486,1475.8144809373293,1484.141845703125,1767438,1501.9384033203125,1501.7744873046875,1455.9097412109375,57.10314024999634,31.53079458160755,30.939216025304013,0.5915785563035385,0.0,0.0,1,10632.67,10588.037556861947
2025-03-26,1481.5702305725458,1490.811320964937,1479.902848684243,1484.6129150390625,1432356,1490.6888671875,1504.9226928710937,1461.3729431152344,57.19423507497762,29.2011607013319,30.591604960509592,-1.3904442591776913,0.0,1505.7194341745865,0,10625.57,10591.398219345276
2025-03-27,1484.6129579826147,1505.5727538678389,1482.1448877409728,1496.859130859375,1795563,1487.862841796875,1509.7486328125,1466.2450378417968,59.59633319400507,28.020078316965964,30.077299631800866,-2.0572213148349014,0.0,0.0,0,10625.57,10678.764122685518
2025-03-28,1498.6772216554916,1500.6271385272184,1484.6129129434378,1493.288818359375,1622789,1490.021923828125,1505.7168212890624,1470.2212768554687,58.56449432494992,26.490600485146842,29.359959802470062,-2.8693593173232195,0.0,0.0,0,10625.57,10653.293105242556
2025-03-31,1489.3040721313378,1494.937292901619,1469.5972287670913,1470.482666015625,2108494,1485.8770751953125,1498.4765014648438,1473.7057861328126,52.33163760780671,23.17111025347799,28.12218989267165,-4.951079639193658,0.0,0.0,0,10625.57,10490.591407798844
2025-04-01,1473.3087513873943,1478.8572233358234,1462.2023781585067,1465.79150390625,1855644,1482.2070068359376,1492.072705078125,1477.7522033691407,51.12629591768023,19.932088048961305,26.48416952392958,-6.552081474968276,0.0,0.0,0,10625.57,10457.124121135379
2025-04-02,1467.656648309336,1476.8884241863284,1455.8814826457503,1459.1973876953125,2167401,1477.1239013671875,1483.9063842773437,1481.6450744628905,49.403766098262906,16.641219922624487,24.515579603668563,-7.874359681044076,0.0,0.0,0,10625.57,10410.080942413711
2025-04-03,1441.2801626794967,1494.0329006599227,1440.3475788324045,1477.9056396484375,3548050,1473.333203125,1480.5980224609375,1484.6077026367188,54.126027918156524,15.365657074346245,22.6855950978041,-7.319938023457855,0.0,0.0,0,10625.57,10543.547750102218
2025-04-07,1431.8694683936833,1447.732938207686,1377.2232744140624,1413.019775390625,10195267,1457.27939453125,1473.6506591796874,1483.618585205078,40.13483082984472,9.01509692963782,19.951495464170844,-10.936398534533023,0.0,0.0,0,10625.57,10080.644578373583
2025-04-08,1425.2659778582624,1455.410400390625,1408.3097401838086,1455.410400390625,7387649,1454.26494140625,1470.0710083007812,1484.6595092773437,49.346935284172375,7.318439016494494,17.424884174635572,-10.106445158141078,0.0,0.0,0,10625.57,10383.064142149316
2025-04-09,1436.5889838982912,1466.5261908930484,1432.3782125062992,1451.6800537109375,5563004,1451.4426513671874,1466.8248291015625,1484.299658203125,48.637649465947206,5.608170101361566,15.06154135998077,-9.453371258619205,0.0,0.0,0,10625.57,10356.4514225774
2025-04-10,1461.0531861183526,1464.8306686174801,1439.3963097411636,1459.1785888671875,3862021,1451.4388916015625,1464.281396484375,1484.6020446777343,50.18757452576915,4.802478797395679,13.009728847463752,-8.207250050068073,0.0,0.0,0,10625.57,10409.94682942526
2025-04-11,1488.3527169043632,1488.3527169043632,1455.410539602791,1478.0,3263423,1451.457763671875,1462.3954833984376,1486.0720581054688,53.944301362247046,5.617933178986959,11.531369713768393,-5.913436534781434,0.0,0.0,0,10625.57,10544.220927635157
2025-04-14,1470.454377672659,1475.192731861548,1461.5618278950733,1461.9951171875,2171144,1461.25283203125,1459.26611328125,1482.4914672851562,50.45933604386028,4.916057120501591,10.208307195115033,-5.292250074613442,1446.9462096161226,0.0,1,10615.34,10430.040264376761
2025-04-15,1462.0045368160302,1474.2507088383293,1455.4104441886382,1467.6566162109375,2148928,1463.7020751953125,1458.9835083007813,1478.7300048828124,51.649261140008385,4.761760334435621,9.11899782297915,-4.357237488543529,0.0,0.0,1,10654.97,10470.430045489558
2025-04-16,1462.00463440797,1484.6129534967529,1447.8744349774806,1468.7589111328125,3115605,1467.1178466796875,1459.2802490234376,1475.6764770507812,51.89154820858266,4.6745398224886685,8.230106222881053,-3.555566400392385,0.0,0.0,1,10662.69,10478.293943448733
2025-04-17,1463.88860329792,1485.0839016082182,1460.1111209330475,1478.9608154296875,2384605,1471.0742919921875,1461.256591796875,1472.5814880371095,54.180042955889874,5.3667606778649315,7.657437113877829,-2.2906764360128973,0.0,0.0,1,10734.1,10551.075494726703
2025-04-18,1475.1926843870292,1483.6708032628167,1465.772552302821,1475.1361083984375,2029848,1470.501513671875,1460.979638671875,1470.7888305664062,53.159085482328486,5.5428344546228345,7.23451658202683,-1.691682127403995,0.0,0.0,1,10707.33,10523.789597621846
2025-04-21,1474.7218148620723,1474.7218148620723,1461.0626220703125,1461.0626220703125,1805703,1470.3150146484375,1465.7839233398438,1469.7172912597657,49.465414837908824,4.494946516168284,6.68660256885512,-2.1916560526868363,0.0,0.0,1,10608.81,10423.38773763145
2025-04-22,1460.1206043299965,1466.055334073371,1453.7242972723438,1458.990234375,1843214,1468.58173828125,1466.1419067382812,1468.1064575195312,48.92630521985939,3.457408554320864,6.0407637659482685,-2.5833552116274046,0.0,0.0,1,10594.31,10408.603086950066
2025-04-23,1468.5987317586682,1468.8059470862074,1455.4105455850818,1462.004638671875,1866876,1467.2308837890625,1467.174365234375,1466.9995971679687,49.78361164236077,2.8455873195264303,5.401728476663901,-2.5561411571374704,0.0,0.0,1,10615.41,10430.108191734545
2025-04-24,1462.004486934289,1470.181212109689,1459.1595886705538,1462.239990234375,1487181,1463.88671875,1467.4805053710938,1465.8809509277344,49.85438536315981,2.352586336345439,4.791900048600208,-2.4393137122547692,0.0,1484.883024230786,0,10606.82,10431.78721668087
2025-04-25,1466.8088768567193,1470.6711083631362,1460.12060546875,1460.12060546875,1476490,1460.8836181640625,1465.6925659179688,1464.0440246582032,49.182165094505926,1.7704541735031398,4.187610873580795,-2.417156700077655,0.0,0.0,0,10606.82,10416.667283528355
2025-04-28,1462.0046320564516,1464.8306719380041,1456.917737271286,1460.12060546875,1465972,1460.69521484375,1465.5051147460938,1462.3856140136718,49.18216509450593,1.2941916051963744,3.6089270199039105,-2.314735414707536,0.0,0.0,0,10606.82,10416.667283528355
2025-04-29,1460.120463000678,1462.513213330986,1443.1830840285654,1454.4683837890625,1892180,1459.7908447265625,1464.1862915039062,1461.5848999023438,47.213146025354206,0.455413315349233,2.978224278992975,-2.522810963643742,0.0,0.0,0,10606.82,10376.343688046221
2025-04-30,1460.1111661941488,1475.8145690927813,1456.6351923595996,1457.2945556640625,2575425,1458.848828125,1463.0398559570312,1461.1600524902344,48.32710485654622,0.018510550479049925,2.38628153329019,-2.36777098281114,0.0,0.0,0,10606.82,10396.50592121907
2025-05-06,1468.5986001679785,1468.5986001679785,1454.7792249258434,1460.308837890625,1830026,1458.46259765625,1461.174658203125,1461.215625,49.54995969141681,-0.08354756974154043,1.892315712683844,-1.9758632824253843,0.0,0.0,0,10606.82,10418.01015513999
2025-05-07,1478.9607647960208,1478.9607647960208,1460.3088569247839,1464.83056640625,2746221,1459.40458984375,1460.1441040039062,1460.5618713378906,51.407699241178506,0.19815216147162573,1.5534830024414004,-1.3553308409697746,0.0,0.0,0,10606.82,10450.268683180273
2025-05-08,1462.946643671532,1500.4199600559612,1459.9604201363832,1486.6759033203125,3348106,1464.7156494140625,1462.7054321289063,1464.244677734375,59.22046080074437,2.1592468937549256,1.6746357807041055,0.48461111305082016,1445.3608159350192,0.0,1,10596.41,10606.115813532435
2025-05-09,1487.4295182141502,1504.8190463133385,1483.7180411408722,1498.9127197265625,2367190,1473.6045166015624,1466.6976806640625,1466.4197937011718,62.82600424591437,4.647266617908599,2.2691619481450043,2.378104669763595,0.0,0.0,1,10682.07,10693.41466037845
2025-05-12,1505.337240749893,1525.0536295496236,1504.0278284748736,1511.4603271484375,2473533,1484.4376708984375,1471.6432495117188,1469.4088073730468,66.13264393563708,7.544558257461631,3.3242412100083296,4.220317047453301,0.0,0.0,1,10769.9,10782.930725851716
